id,nombre,unidad,stock_actual,salidas_5_meses,rotacion_pct,ultima_salida,categoria,ubicacion
119,HILO BLANCO,PIEZAS,41.00,0,0.00,,CONSUMIBLES,MANUFACTURA
234,"PLACA UNION 6""",PIEZAS,40.00,0,0.00,,PLACAS,HERRERIA
396,PORTA BALERO DOBLE,PIEZAS,37.00,0,0.00,,Sin Categoría,SIN-UBICACION
530,"PIJA CABEZA PHILIPS 8 X 1 1/2""",PIEZAS,36.00,0,0.00,,Sin Categoría,REVISAR
210,"PLACA UNION 2 1/2""",PIEZAS,35.00,0,0.00,,PLACAS,HERRERIA
412,CADENA DE IMPORTACIÓN,METROS,35.00,0,0.00,,HERRAJES,MANUFACTURA
29,"TORNILLO ALTA 7/8"" X 2 1/2""",PIEZAS,33.00,0,0.00,,TORNILLERIA,EXTRAS
562,REMACHE NEGRO,PIEZAS,32.00,0,0.00,,Sin Categoría,SIN-UBICACION
573,PLACA 3G GRANDE,PIEZAS,30.00,0,0.00,,Sin Categoría,SIN-UBICACION
116,"TORNILLO 7/8"" X 3 1/2""",PIEZAS,30.00,0,0.00,,TORNILLERIA,INSTALACIÓN
